Fish.number,Fish.ID,Feed.Type,Size.class,Live.Weight.kg,Gutted.Weight.kg,Fork.Length.cm,Sex,Cestode.index,Cestode.present,Included.in.cestode.study,Sampling.Date,Cage
1,F001,BioMar,Medium,3.73,3.24,66.0,F,1,TRUE,FALSE,09apr.18,7
2,F002,BioMar,Medium,4.87,4.18,69.5,M,2,TRUE,FALSE,09apr.18,7
3,F003,BioMar,Large,7.02,5.89,78.0,M,0,FALSE,FALSE,09apr.18,7
4,F004,BioMar,Large,5.78,4.89,70.0,M,1,TRUE,FALSE,09apr.18,7
5,F005,BioMar,Medium,4.56,3.98,69.0,M,1,TRUE,FALSE,09apr.18,7
6,F006,BioMar,Small,2.40,2.01,57.0,F,1,TRUE,FALSE,09apr.18,7
7,F007,BioMar,Large,5.60,4.74,70.0,M,1,TRUE,FALSE,09apr.18,7
8,F008,BioMar,Large,5.65,4.70,71.5,M,1,TRUE,FALSE,09apr.18,7
9,F009,BioMar,Medium,4.79,3.90,71.0,F,0,FALSE,FALSE,09apr.18,7
10,F010,BioMar,Small,2.00,1.77,55.0,M,1,TRUE,FALSE,09apr.18,7
11,F011,BioMar,Large,5.10,4.24,72.5,F,1,TRUE,FALSE,09apr.18,7
12,F012,BioMar,Small,2.94,2.57,61.0,F,2,TRUE,FALSE,09apr.18,7
13,F013,BioMar,Large,5.14,4.30,70.0,M,1,TRUE,FALSE,09apr.18,7
14,F014,BioMar,Large,5.01,4.27,68.5,M,1,TRUE,FALSE,09apr.18,7
15,F015,BioMar,Medium,4.74,3.94,68.0,M,2,TRUE,FALSE,09apr.18,7
16,F016,BioMar,Large,5.64,4.76,73.5,M,1,TRUE,FALSE,09apr.18,7
17,F017,BioMar,Large,6.35,5.23,74.0,M,1,TRUE,FALSE,09apr.18,7
18,F018,BioMar,Large,6.25,5.11,72.5,M,2,TRUE,FALSE,09apr.18,7
19,F019,BioMar,Large,5.23,4.27,71.5,M,1,TRUE,FALSE,09apr.18,7
20,F020,BioMar,Small,1.95,1.57,55.0,M,3,TRUE,FALSE,09apr.18,7
21,F021,BioMar,Medium,4.08,3.50,71.0,M,0,FALSE,FALSE,09apr.18,7
22,F022,BioMar,Large,4.93,4.28,72.5,M,1,TRUE,FALSE,09apr.18,7
23,F023,BioMar,Small,1.80,1.47,54.5,M,2,TRUE,FALSE,09apr.18,7
24,F024,BioMar,Small,1.74,1.48,57.0,M,1,TRUE,FALSE,09apr.18,7
25,F025,BioMar,Small,1.25,1.00,50.0,M,2,TRUE,FALSE,09apr.18,7
26,F026,BioMar,Small,2.49,2.05,59.0,F,2,TRUE,FALSE,09apr.18,7
27,F027,BioMar,Medium,4.64,3.92,71.5,M,0,FALSE,FALSE,09apr.18,7
28,F028,BioMar,Small,2.05,1.77,56.0,F,1,TRUE,FALSE,09apr.18,7
29,F029,BioMar,Large,5.67,4.71,71.0,F,3,TRUE,FALSE,09apr.18,7
30,F030,BioMar,Large,5.13,4.37,74.5,M,2,TRUE,FALSE,09apr.18,7
31,F031,BioMar,Small,1.56,1.31,52.0,F,3,TRUE,FALSE,09apr.18,7
32,F032,BioMar,Large,6.08,5.11,73.0,M,0,FALSE,FALSE,09apr.18,7
33,F033,BioMar,Medium,4.54,3.81,68.0,M,3,TRUE,FALSE,09apr.18,7
34,F034,BioMar,Small,1.37,1.10,50.5,M,3,TRUE,FALSE,09apr.18,7
35,F035,BioMar,Medium,4.77,3.96,68.0,M,2,TRUE,FALSE,09apr.18,7
36,F036,BioMar,Large,5.25,4.39,68.0,F,1,TRUE,FALSE,09apr.18,7
37,F037,BioMar,Large,5.55,4.75,75.0,M,3,TRUE,FALSE,09apr.18,7
38,F038,BioMar,Small,2.47,2.15,63.0,M,1,TRUE,FALSE,09apr.18,7
39,F039,BioMar,Small,1.73,1.47,54.0,M,2,TRUE,FALSE,09apr.18,7
40,F040,BioMar,Small,1.93,1.62,58.0,M,3,TRUE,FALSE,09apr.18,7
41,F041,BioMar,Large,5.08,4.43,70.0,M,2,TRUE,FALSE,09apr.18,7
42,F042,BioMar,Small,1.11,0.92,49.0,F,3,TRUE,FALSE,09apr.18,7
43,F043,BioMar,Small,1.90,1.70,58.0,M,1,TRUE,FALSE,09apr.18,7
44,F044,BioMar,Small,2.83,2.30,65.0,M,3,TRUE,FALSE,09apr.18,7
45,F045,BioMar,Large,5.26,4.44,74.0,M,3,TRUE,FALSE,09apr.18,7
46,F046,BioMar,Small,1.91,1.67,57.0,F,1,TRUE,FALSE,09apr.18,7
47,F047,BioMar,Small,1.70,1.44,55.5,M,1,TRUE,FALSE,09apr.18,7
48,F048,BioMar,Medium,4.67,4.00,67.0,F,3,TRUE,FALSE,09apr.18,7
49,F049,BioMar,Small,1.87,1.60,55.0,F,1,TRUE,FALSE,09apr.18,7
50,F050,BioMar,Small,2.07,1.70,57.0,M,2,TRUE,FALSE,09apr.18,7
51,F051,BioMar,Small,1.36,1.18,53.0,M,1,TRUE,FALSE,09apr.18,7
52,F052,BioMar,Medium,4.28,3.25,68.5,M,0,FALSE,FALSE,09apr.18,7
53,F053,BioMar,Small,2.27,2.01,61.0,M,0,FALSE,FALSE,09apr.18,7
54,F054,BioMar,Small,2.45,2.14,60.0,F,1,TRUE,FALSE,09apr.18,7
55,F055,BioMar,Large,5.51,4.60,73.5,M,0,FALSE,FALSE,09apr.18,7
56,F056,BioMar,Small,1.40,1.17,51.0,M,2,TRUE,FALSE,09apr.18,7
57,F057,BioMar,Large,5.75,4.85,70.5,M,2,TRUE,FALSE,09apr.18,7
58,F058,BioMar,Small,2.47,2.12,61.5,M,2,TRUE,FALSE,09apr.18,7
