SampleID.R,SampleID,Sample.type,Lab.control,Lab.neg,PCR.Replicate,Fish.number,Fish.ID,Sex,Cestode.index,Cestode.present,Sampling.Date,Feed.Type,Size.class,Lab.ID,DNA.extraction.concentration,Library.PCR.concentration,Reads.sequenced,Reads.postprocessing,ENA 16S accession,ENA metagenomics accession
Blank1,Blank1,c_blank,TRUE,TRUE,R1,NA,NA,NA,NA,NA,NA,NA,NA,S73,NA,2.2,4046,NA,,
Blank1R,Blank1,c_blank,TRUE,TRUE,R2,NA,NA,NA,NA,NA,NA,NA,NA,S148,NA,2.4,2593,NA,,
Blank2,Blank2,c_blank,TRUE,TRUE,R1,NA,NA,NA,NA,NA,NA,NA,NA,S74,NA,1.5,2093,269,,
Blank2R,Blank2,c_blank,TRUE,TRUE,R2,NA,NA,NA,NA,NA,NA,NA,NA,S149,NA,0.4,431,87,,
Blank3,Blank3,c_blank,TRUE,TRUE,R1,NA,NA,NA,NA,NA,NA,NA,NA,S75,NA,1.3,3081,NA,,
Blank3R,Blank3,c_blank,TRUE,TRUE,R2,NA,NA,NA,NA,NA,NA,NA,NA,S150,NA,1.9,1439,NA,,
ddH2O,ddH2O,c_ddH2O,TRUE,TRUE,R1,NA,NA,NA,NA,NA,NA,NA,NA,S72,NA,5.3,12006,123,,
ddH2OR,ddH2O,c_ddH2O,TRUE,TRUE,R2,NA,NA,NA,NA,NA,NA,NA,NA,S147,NA,3.5,4871,70,,
Mock1,Mock1,c_mock,TRUE,FALSE,R1,NA,NA,NA,NA,NA,NA,NA,NA,S68,1.38,42.3,276155,46810,,
Mock1R,Mock1,c_mock,TRUE,FALSE,R2,NA,NA,NA,NA,NA,NA,NA,NA,S143,1.38,40.5,72262,13020,,
Mock2,Mock2,c_mock,TRUE,FALSE,R1,NA,NA,NA,NA,NA,NA,NA,NA,S69,2.91,42.1,175848,26120,,
Mock2R,Mock2,c_mock,TRUE,FALSE,R2,NA,NA,NA,NA,NA,NA,NA,NA,S144,2.91,36.6,105320,18580,,
Mock3,Mock3,c_mock,TRUE,FALSE,R1,NA,NA,NA,NA,NA,NA,NA,NA,S70,4.72,48,211379,33010,,
Mock3R,Mock3,c_mock,TRUE,FALSE,R2,NA,NA,NA,NA,NA,NA,NA,NA,S145,4.72,44,99838,18410,,
Mock4,Mock4,c_mock,TRUE,FALSE,R1,NA,NA,NA,NA,NA,NA,NA,NA,S71,4.2,45.3,219573,35606,,
Mock4R,Mock4,c_mock,TRUE,FALSE,R2,NA,NA,NA,NA,NA,NA,NA,NA,S146,4.2,39.9,52763,10040,,
i134F,i134F,salmon_gut,FALSE,FALSE,R1,134,F134,M,0,FALSE,10apr.18,BioMar,Medium,S58,12.1,45.5,148119,44394,,
i134FR,i134F,salmon_gut,FALSE,FALSE,R2,134,F134,M,0,FALSE,10apr.18,BioMar,Medium,S133,12.1,46.2,112031,34108,,
i160F,i160F,salmon_gut,FALSE,FALSE,R1,160,F160,M,0,FALSE,10apr.18,BioMar,Medium,S59,14.4,45.5,187582,55740,,
i160FR,i160F,salmon_gut,FALSE,FALSE,R2,160,F160,M,0,FALSE,10apr.18,BioMar,Medium,S134,14.4,43.2,127116,41980,,
i161E,i161E,endo,FALSE,FALSE,R1,161,F161,M,3,TRUE,10apr.18,BioMar,Medium,S18,43.7,25.9,174370,65095,,
i161ER,i161E,endo,FALSE,FALSE,R2,161,F161,M,3,TRUE,10apr.18,BioMar,Medium,S93,43.7,48.5,49521,21796,,
i161F,i161F,salmon_gut,FALSE,FALSE,R1,161,F161,M,3,TRUE,10apr.18,BioMar,Medium,S38,4.2,35.7,100914,26937,,
i161FR,i161F,salmon_gut,FALSE,FALSE,R2,161,F161,M,3,TRUE,10apr.18,BioMar,Medium,S113,4.2,52,119368,28212,,
i161S,i161S,tegument,FALSE,FALSE,R1,161,F161,M,3,TRUE,10apr.18,BioMar,Medium,S1,1,43.5,92864,34351,,
i161SR,i161S,tegument,FALSE,FALSE,R2,161,F161,M,3,TRUE,10apr.18,BioMar,Medium,S76,1,51,121440,48126,,
i162E,i162E,endo,FALSE,FALSE,R1,162,F162,M,1,TRUE,10apr.18,BioMar,Small,S19,5.22,20.9,147713,44556,,
i162ER,i162E,endo,FALSE,FALSE,R2,162,F162,M,1,TRUE,10apr.18,BioMar,Small,S94,5.22,52,119550,46513,,
i162F,i162F,salmon_gut,FALSE,FALSE,R1,162,F162,M,1,TRUE,10apr.18,BioMar,Small,S39,9.03,36.4,80589,42799,,
i162FR,i162F,salmon_gut,FALSE,FALSE,R2,162,F162,M,1,TRUE,10apr.18,BioMar,Small,S114,9.03,49.5,71384,35411,,
i162S,i162S,tegument,FALSE,FALSE,R1,162,F162,M,1,TRUE,10apr.18,BioMar,Small,S2,2.35,49.2,106541,40876,,
i162SR,i162S,tegument,FALSE,FALSE,R2,162,F162,M,1,TRUE,10apr.18,BioMar,Small,S77,2.35,50,157653,64739,,
i163E,i163E,endo,FALSE,FALSE,R1,163,F163,F,3,TRUE,10apr.18,BioMar,Small,S20,51,46.9,70497,19833,,
i163ER,i163E,endo,FALSE,FALSE,R2,163,F163,F,3,TRUE,10apr.18,BioMar,Small,S95,51,41.5,2499,1014,,
i163F,i163F,salmon_gut,FALSE,FALSE,R1,163,F163,F,3,TRUE,10apr.18,BioMar,Small,S40,8.12,39.4,80021,22782,,
i163FR,i163F,salmon_gut,FALSE,FALSE,R2,163,F163,F,3,TRUE,10apr.18,BioMar,Small,S115,8.12,45.1,103002,29121,,
i163S,i163S,tegument,FALSE,FALSE,R1,163,F163,F,3,TRUE,10apr.18,BioMar,Small,S3,0.092,40.1,121948,29151,,
i163SR,i163S,tegument,FALSE,FALSE,R2,163,F163,F,3,TRUE,10apr.18,BioMar,Small,S78,0.092,37.9,114560,37695,,
i164E,i164E,endo,FALSE,FALSE,R1,164,F164,M,2,TRUE,10apr.18,BioMar,Large,S21,1.42,22.9,139968,48700,,
i164ER,i164E,endo,FALSE,FALSE,R2,164,F164,M,2,TRUE,10apr.18,BioMar,Large,S96,1.42,18.6,9705,4605,,
i164F,i164F,salmon_gut,FALSE,FALSE,R1,164,F164,M,2,TRUE,10apr.18,BioMar,Large,S41,11,52,137486,55460,,
i164FR,i164F,salmon_gut,FALSE,FALSE,R2,164,F164,M,2,TRUE,10apr.18,BioMar,Large,S116,11,36.6,65440,28488,,
i164S,i164S,tegument,FALSE,FALSE,R1,164,F164,M,2,TRUE,10apr.18,BioMar,Large,S4,0.1,39.5,120663,40520,,
