feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
seq1	Sample.type	cestode_body	0.646360613161424	0.0629555154560384	51	45	1.18533712691284e-11	6.40082048532934e-10
seq2	Sample.type	cestode_body	-0.426399846391536	0.0633890455719018	51	42	1.34781797634e-07	3.63910853611801e-06
seq3	Sample.type	cestode_body	-0.185413043846765	0.0302081871352648	51	35	7.28747593081279e-07	1.3117456675463e-05
seq6	Sample.type	cestode_body	-0.154262451720619	0.0379379676566941	51	30	0.000290701460531787	0.00363983027698211
seq7	Sample.type	cestode_body	0.103819453814583	0.0258663756044363	51	30	0.000337021321942788	0.00363983027698211
seq5	Sample.type	cestode_wash	0.227517155119197	0.0668714338177186	51	22	0.00137381534261174	0.0102722582564586
seq18	Sample.type	cestode_body	0.0164084386295734	0.00475368226395765	51	12	0.0015863814687918	0.0102722582564586
seq21	Sample.type	cestode_body	0.0159338897333337	0.00470163351986275	51	8	0.0017120430427431	0.0102722582564586
seq23	Sample.type	cestode_body	0.0146834314552119	0.00423213586361152	51	12	0.00151225231171373	0.0102722582564586
seq40	Sample.type	cestode_body	0.00489450611891327	0.0015531234524321	51	8	0.00325554863422963	0.01757996262484
seq20	Sample.type	cestode_body	-0.0116222019357484	0.00377118888705541	51	11	0.00421036402388475	0.0206690597536161
seq2	Sample.type	cestode_wash	-0.189708471862509	0.0633890455719018	51	42	0.00529150440859014	0.0232828874118494
seq9	Sample.type	cestode_body	0.0700366934894303	0.0235830229538318	51	16	0.00561026534377896	0.0232828874118494
seq16	Sample.type	cestode_body	-0.0155202930757731	0.00527732614711687	51	15	0.00603630414381282	0.0232828874118494
seq1	Sample.type	cestode_wash	0.182572976939703	0.0629555154560384	51	45	0.00669290884583133	0.0240944718449928
seq3	Sample.type	cestode_wash	-0.0791741614843808	0.0302081871352648	51	35	0.0133043987682905	0.0449023458429805
seq19	Sample.type	cestode_body	-0.00119435315203877	0.000510507123985888	51	9	0.0235153155090865	0.0713946152680358
seq26	Sample.type	cestode_wash	0.00503920238434401	0.00212321379679863	51	29	0.0237982050893453	0.0713946152680358
seq6	Sample.type	cestode_wash	-0.0865573532691711	0.0379379676566941	51	30	0.0293116017870964	0.0833066577106951
seq20	Sample.type	cestode_wash	-0.00787817881720436	0.00377118888705541	51	11	0.0447418413215262	0.120802971568121
seq29	Sample.type	cestode_wash	0.00412779549041351	0.00203462542999143	51	22	0.0508707346951913	0.130810460644778
seq8	Sample.type	cestode_body	-0.045559155638213	0.0240439433695573	51	8	0.0642760329205001	0.135385103118824
seq8	Sample.type	cestode_wash	-0.0454371237030761	0.0240439433695573	51	8	0.0649675423681403	0.135385103118824
seq10	Sample.type	cestode_body	0.0601474748720426	0.0312897860466351	51	9	0.0635127450394087	0.135385103118824
seq15	Sample.type	cestode_wash	0.0179617133186169	0.00923546238068474	51	6	0.0606239047548921	0.135385103118824
seq43	Sample.type	cestode_wash	-0.00286587986083605	0.00150078027300916	51	6	0.0651854200201745	0.135385103118824
seq16	Sample.type	cestode_wash	-0.00983741729878145	0.00527732614711687	51	15	0.0715056866153025	0.143011373230605
seq43	Sample.type	cestode_body	-0.00276388333820587	0.00150078027300916	51	6	0.0748147878988504	0.144285662376354
seq36	Sample.type	cestode_body	-0.0045691192078855	0.00254224596473954	51	9	0.0817353783550589	0.152196911419765
seq32	Sample.type	cestode_body	-0.00830494318759426	0.00499987434140902	51	11	0.103364837120634	0.182853908861498
seq41	Sample.type	cestode_body	-0.00474967688587117	0.00287315765965769	51	6	0.104971688420489	0.182853908861498
seq19	Sample.type	cestode_wash	-0.000808806711972965	0.000510507123985888	51	9	0.119688007818901	0.201973513194395
seq25	Sample.type	cestode_body	-0.0151004785699842	0.00974055992711806	51	8	0.127785389498653	0.209103364634159
