metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Cestode.index	seq44	.L	0.0108441333305026	0.00264174133438365	30	4	0.000466952681147507	0.104597400577042
Cestode.index	seq3	.L	-0.204913088594566	0.0683552573314172	30	28	0.00662884189895846	0.247476764227783
Cestode.index	seq6	.L	0.270588789227639	0.081719946006616	30	24	0.00317673015215532	0.247476764227783
Cestode.index	seq20	.L	0.0217495213092304	0.00714709653681161	30	10	0.00596621792270896	0.247476764227783
Cestode.index	seq36	.L	0.0122752051755343	0.00401217514116164	30	7	0.00574322268226485	0.247476764227783
Cestode.index	seq44	.Q	0.00830686132254441	0.00261923522462895	30	4	0.00441890404430527	0.247476764227783
Cestode.index	seq2	.L	-0.214413603697364	0.111645021012464	30	29	0.0678513010739725	0.500239528947464
Size.class	seq5	.Q	-0.0167518844959999	0.00952543647902604	30	12	0.0925416100311486	0.500239528947464
Size.class	seq6	.Q	-0.100236129217471	0.0523285641978131	30	24	0.0685149756939354	0.500239528947464
Feed.Type	seq7	EWOS	-0.00764001247644407	0.00355542772526862	30	10	0.0429107830551251	0.500239528947464
Cestode.index	seq10	.Q	-0.00958372938855934	0.00430482291412122	30	5	0.0365521321489658	0.500239528947464
Feed.Type	seq10	EWOS	-0.0074868608803176	0.00391533878777247	30	5	0.0689616255467111	0.500239528947464
Sex	seq14	M	-0.0260325065940894	0.0126864842738782	30	17	0.0522593391622433	0.500239528947464
Size.class	seq14	.Q	-0.014747288985385	0.00794848079599728	30	17	0.0769938548354942	0.500239528947464
Cestode.index	seq16	.L	0.0234283694929498	0.0109053958377201	30	14	0.042955127232454	0.500239528947464
Cestode.index	seq19	.L	-0.0322075645971709	0.0171636197546406	30	13	0.0739148265232492	0.500239528947464
Size.class	seq19	.Q	0.0250208485616529	0.0109905552082089	30	13	0.0328948171245581	0.500239528947464
Cestode.index	seq20	.C	0.00991124222367651	0.00525800183074093	30	10	0.0727103038485675	0.500239528947464
Sex	seq25	M	-0.0389435306880071	0.0169351250415391	30	6	0.0313370622708085	0.500239528947464
Size.class	seq25	.Q	-0.0217635277886434	0.0106103876585926	30	6	0.0523472689448698	0.500239528947464
Cestode.index	seq26	.L	0.00197017499854171	0.00112486443078544	30	16	0.0937949116776495	0.500239528947464
