feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Photobacterium	Sample.type	cestode_body	-0.210301109114154	0.052752426215218	51	31	0.000363700220199093	0.00581920352318548
Carnobacterium	Sample.type	cestode_wash	0.259042818925603	0.0754249445901001	51	22	0.0012500992926808	0.00811404376133649
Ureaplasma	Sample.type	cestode_body	0.0195779375741252	0.00564649223384733	51	12	0.00152138320525059	0.00811404376133649
Mycoplasmataceae_sp	Sample.type	cestode_body	0.0700366934894303	0.0235830229538318	51	16	0.00561026534377896	0.0224410613751158
Mycoplasma	Sample.type	cestode_body	0.235129061350138	0.0944326282354106	51	50	0.016371442006857	0.0523886144219424
Brevinema	Sample.type	cestode_body	-0.00119435315203877	0.000510507123985888	51	9	0.0235153155090865	0.0627075080242306
Photobacterium	Sample.type	cestode_wash	-0.120170158290333	0.0527524262152179	51	31	0.0295459915468131	0.0675336949641443
Aliivibrio	Sample.type	cestode_body	-0.0480142562947357	0.0254896393393193	51	8	0.0658037130956422	0.118167095006921
Aliivibrio	Sample.type	cestode_wash	-0.0478922243595987	0.0254896393393193	51	8	0.0664689909413931	0.118167095006921
Lactobacillus	Sample.type	cestode_body	-0.0621147710516327	0.0401092862356925	51	16	0.128176693323996	0.186438826653085
Brevinema	Sample.type	cestode_wash	-0.000808806711972965	0.000510507123985888	51	9	0.119688007818901	0.186438826653085
Mycoplasma	Sample.type	cestode_wash	-0.0777078539083886	0.0944326282354106	51	50	0.414725149503126	0.552966866004168
Carnobacterium	Sample.type	cestode_body	0.0148237792989583	0.0754249445901001	51	22	0.845037393576825	0.903814658424082
Mycoplasmataceae_sp	Sample.type	cestode_wash	0.00457741306853568	0.0235830229538318	51	16	0.847326242272577	0.903814658424082
Lactobacillus	Sample.type	cestode_wash	-0.0108356371871959	0.0401092862356925	51	16	0.788225409624262	0.903814658424082
Ureaplasma	Sample.type	cestode_wash	0.000255227167981872	0.00564649223384734	51	12	0.964227986360081	0.964227986360081
