metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Cestode.index	Photobacterium	.L	0.375466495670128	0.112325584227059	30	26	0.00294770177136334	0.144437386796804
Cestode.index	Mycoplasma	.L	-0.349182384356515	0.117550919414597	30	30	0.00706094093565311	0.172993052923501
Size.class	Mycoplasma	.Q	0.139302844977129	0.0752725758360229	30	30	0.0776954242624486	0.423008420984442
Sex	Lactobacillus	M	-0.137531116972623	0.0640274636048643	30	18	0.0429839370199415	0.423008420984442
Size.class	Lactobacillus	.Q	-0.0780358504039783	0.0401152166268444	30	18	0.0646295713502542	0.423008420984442
Cestode.index	Brevinema	.L	-0.0322075645971709	0.0171636197546406	30	13	0.0739148265232492	0.423008420984442
Size.class	Brevinema	.Q	0.0250208485616529	0.0109905552082089	30	13	0.0328948171245581	0.423008420984442
Sex	Streptococcus	M	-0.00603391883492705	0.00284699236801042	30	9	0.0455783646750089	0.423008420984442
Size.class	Streptococcus	.Q	-0.00343178202701956	0.00178373012372513	30	9	0.0673959099952925	0.423008420984442
Size.class	Carnobacterium	.Q	-0.0188982373463274	0.0108263875382047	30	12	0.0948381921931765	0.464707141746565
Cestode.index	Photobacterium	.Q	0.169737040953056	0.111368635151852	30	26	0.141730610700145	0.494239186347617
Size.class	Photobacterium	.Q	-0.114253583734041	0.0719265838086417	30	26	0.126448180835506	0.494239186347617
Cestode.index	Lactobacillus	.Q	-0.0930043875385861	0.0621130142429451	30	18	0.14851536446443	0.494239186347617
Cestode.index	Streptococcus	.Q	-0.00410594455231683	0.00276186604228303	30	9	0.151297710106413	0.494239186347617
Cestode.index	Streptococcus	.C	-0.00323535632606957	0.00204931860990726	30	9	0.128665740279045	0.494239186347617
Cestode.index	Lactobacillus	.C	-0.0645784192898027	0.0460881715683362	30	18	0.175105720983383	0.536261270511609
Sex	Mycoplasma	M	0.151383940214717	0.120141744580789	30	30	0.220855962815956	0.54705383384457
Feed.Type	Carnobacterium	EWOS	-0.019107027219487	0.0152465326642756	30	12	0.223287279120232	0.54705383384457
Cestode.index	Aliivibrio	.C	0.093268923167489	0.0731288514460379	30	13	0.2154696862476	0.54705383384457
Size.class	Aliivibrio	.L	0.0967972789685633	0.0753081896526554	30	13	0.212037348610507	0.54705383384457
Cestode.index	Mycoplasma	.C	-0.096541895327284	0.0864802855682377	30	30	0.276319103481769	0.613382689776015
Feed.Type	Mycoplasma	EWOS	-0.111362435110441	0.10600449892988	30	30	0.304871500996182	0.613382689776015
Cestode.index	Carnobacterium	.Q	-0.0173118605020921	0.01676320408825	30	12	0.312950351926538	0.613382689776015
Cestode.index	Carnobacterium	.C	0.0133898296245232	0.0124383824464299	30	12	0.293370656069192	0.613382689776015
Size.class	Aliivibrio	.Q	0.0710825842746406	0.0636514666909802	30	13	0.27615115411921	0.613382689776015
Cestode.index	Brevinema	.Q	0.0165842683189143	0.0170173956315752	30	13	0.340379199285096	0.641483875575758
Cestode.index	Mycoplasma	.Q	-0.055439435799172	0.116549453502822	30	30	0.638996568438621	0.794337298742189
Size.class	Mycoplasma	.L	-0.0550442213175703	0.0890575144831089	30	30	0.542872134614228	0.794337298742189
Sex	Carnobacterium	M	-0.00594274946730722	0.0172798801143876	30	12	0.734178157776951	0.794337298742189
Size.class	Carnobacterium	.L	0.0099353859790606	0.012809062985752	30	12	0.446212475237991	0.794337298742189
Cestode.index	Photobacterium	.C	0.0480822685075295	0.0826360920778046	30	26	0.566579215575185	0.794337298742189
Feed.Type	Photobacterium	EWOS	0.0484048722149725	0.101292421465458	30	26	0.637454878339106	0.794337298742189
Size.class	Photobacterium	.L	-0.0307090293416449	0.0850987588522666	30	26	0.721643576068871	0.794337298742189
Cestode.index	Aliivibrio	.L	-0.0333598300922179	0.0994025825276934	30	13	0.740349469653442	0.794337298742189
Cestode.index	Aliivibrio	.Q	-0.0616187493814184	0.0985557299599756	30	13	0.53826024668061	0.794337298742189
Feed.Type	Aliivibrio	EWOS	0.0332506756916062	0.089638779565987	30	13	0.714229651450911	0.794337298742189
Sex	Aliivibrio	M	-0.0319996786262515	0.101593417900821	30	13	0.755746518160297	0.794337298742189
Cestode.index	Lactobacillus	.L	-0.0228443859601778	0.062646728169286	30	18	0.718851433973833	0.794337298742189
Feed.Type	Lactobacillus	EWOS	0.0329673747350968	0.0564932631939663	30	18	0.565449822610065	0.794337298742189
Size.class	Lactobacillus	.L	-0.0284343402975784	0.0474616611170697	30	18	0.555225142714843	0.794337298742189
Cestode.index	Brevinema	.C	-0.00547427656123682	0.0126269938606848	30	13	0.668845657181276	0.794337298742189
Feed.Type	Brevinema	EWOS	-0.00476977690646686	0.0154777259163465	30	13	0.760851591774476	0.794337298742189
Sex	Brevinema	M	-0.0121410134719652	0.017541906357797	30	13	0.496105873905824	0.794337298742189
Size.class	Brevinema	.L	0.00546117766412992	0.013003295274028	30	13	0.678570416295039	0.794337298742189
Cestode.index	Streptococcus	.L	-0.00131456748709249	0.00278559772536782	30	9	0.641633987496318	0.794337298742189
Feed.Type	Streptococcus	EWOS	0.000770560173374431	0.00251198282895915	30	9	0.761915368181284	0.794337298742189
Size.class	Streptococcus	.L	-0.00126094798915116	0.00211039106292395	30	9	0.556277648434917	0.794337298742189
Sex	Photobacterium	M	0.0195949423753072	0.114801242876706	30	26	0.866030875566408	0.884073185474041
Cestode.index	Carnobacterium	.L	0.00230996610636912	0.016907244038348	30	12	0.892569147179009	0.892569147179009
